"Group","Subject","Inspection","Avoidance","Refuge"
"Defecting mirror",1,-1.59962010293565,12.9600561435333,202.033646125466
"Defecting mirror",2,8.41024656016529,7.61944458771874,-16.8708400632886
"Defecting mirror",3,-1.61231032980538,-22.8032402963282,-25.023371569904
"Defecting mirror",4,5.74669838132502,6.12394045838129,-16.6912605842773
"Defecting mirror",5,-10.0595375811329,11.5984222381228,30.2020963846496
"Defecting mirror",6,-0.39562401666991,-4.74253638156343,19.5202315045427
"Defecting mirror",7,-8.62720757662557,1.29244921724137,-17.3226553078671
"Defecting mirror",8,-8.77827035910217,12.9895372142297,-16.5255777293898
"Defecting mirror",9,-7.3677087511646,-15.738738434081,-10.2126023283641
"Defecting mirror",10,5.70056751979024,-22.4480833348657,33.2544772241909
"Defecting mirror",11,8.24536358183279,8.32265144158933,2.70290161141457
"Defecting mirror",12,10.4180995028566,-22.3826751029672,11.0417555043336
"Defecting mirror",13,2.66143036141306,-2.4045764075334,30.7122032606385
"Defecting mirror",14,-0.479164154857598,12.356787684816,25.1198299634278
"Defecting mirror",15,2.63784339942919,-22.5922879098956,17.8018942075463
"Cooperating mirror",1,0.197054217641338,11.8312040280173,18.3294809531062
"Cooperating mirror",2,-4.94298028709992,-4.7732432177952,43.0617253718482
"Cooperating mirror",3,7.04016618349958,-6.66256008027567,-242.734938278347
"Cooperating mirror",4,2.52322140813118,-5.85837002411027,-113.817423234923
"Cooperating mirror",5,-3.55742039198091,11.1307628600714,16.3855037264245
"Cooperating mirror",6,-12.6896158830731,-9.16844349181803,5.23330500491813
"Cooperating mirror",7,11.1802963988158,-7.6477285657336,16.0046008625778
"Cooperating mirror",8,-6.34918856489487,19.0436589577739,22.1220179215337
"Cooperating mirror",9,-1.67839429267964,17.2606117320083,29.9980962175065
"Cooperating mirror",10,9.46595257634132,-5.25372097980876,0.264063889878299
"Cooperating mirror",11,1.24534721798713,-5.59426683008355,17.6408724719413
"Cooperating mirror",12,-2.53281752644197,9.49187111049348,14.2045028214911
"Cooperating mirror",13,-24.0944591689891,-9.87442533575506,10.9828363029201
"Cooperating mirror",14,-7.29488390223265,8.53974191132511,23.6309259721501
"Cooperating mirror",15,13.5416191476735,-7.36628074972028,27.7074791036935
,,,,
