Group,Subj,Time.block,Freezing,Erratic
DM,A,1-5min,0,3
DM,B,1-5min,0,0
DM,C,1-5min,0,0
DM,D,1-5min,0.981982149884788,0
DM,E,1-5min,3.92891620023496,12
DM,F,1-5min,3.51360331129246,1
DM,G,1-5min,0,14
DM,H,1-5min,0,0
DM,I,1-5min,1.15463321104702,0
DM,J,1-5min,0,0
DM,K,1-5min,2.53220128953369,3
DM,L,1-5min,4.48114158699548,0
DM,M,1-5min,1.39442861796185,0
DM,N,1-5min,4.48510078750605,0
DM,O,1-5min,4.8438418771202,21
DM,P,1-5min,4.63350793364142,0
DM,A,6-15min,0,28
DM,B,6-15min,0,0
DM,C,6-15min,0,44
DM,D,6-15min,3.33254927890322,5
DM,E,6-15min,0,5
DM,F,6-15min,4.32932481686734,0
DM,G,6-15min,3.91381717450652,4
DM,H,6-15min,0,0
DM,I,6-15min,3.73821193002122,16
DM,J,6-15min,0.258082526139532,6
DM,K,6-15min,0,10
DM,L,6-15min,4.72789535443661,0
DM,M,6-15min,0,44
DM,N,6-15min,2.12805006904113,1
DM,O,6-15min,2.82918672790561,0
DM,P,6-15min,0,0
CM,1,1-5min,0,0
CM,2,1-5min,0,3
CM,3,1-5min,3.52345713506653,5
CM,4,1-5min,1.04952274352587,0
CM,5,1-5min,2.60410921830229,2
CM,6,1-5min,4.83476256120477,23
CM,7,1-5min,2.86644551728569,1
CM,8,1-5min,2.27056711217428,1
CM,9,1-5min,1.12702938949354,1
CM,10,1-5min,0,0
CM,11,1-5min,1.59861650812661,7
CM,12,1-5min,0,0
CM,13,1-5min,1.87029291309285,0
CM,14,1-5min,3.08769552051975,6
CM,15,1-5min,2.67160826321238,0
CM,16,1-5min,0,0
CM,1,6-15min,0,1
CM,2,6-15min,9.86258387534707,16
CM,3,6-15min,4.1131465960855,0
CM,4,6-15min,0,0
CM,5,6-15min,0,3
CM,6,6-15min,0,2
CM,7,6-15min,0,0
CM,8,6-15min,1.09678176990033,0
CM,9,6-15min,1.15463321104702,1
CM,10,6-15min,1.26306167504426,5
CM,11,6-15min,0,9
CM,12,6-15min,0,12
CM,13,6-15min,1.39442861796185,0
CM,14,6-15min,4.48510078750605,0
CM,15,6-15min,0,0
CM,16,6-15min,4.63350793364142,1
